sentence1,label
"RT @capslock_io: Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/ZTWw3u9ePM VOTARAM NO PT, ESPERAVAM O QUE DO GOVERNA…",0
Secretaria realiza vacinação preventiva contra febre amarela na zona rural em Juiz de Fora https://t.co/qjcLAQpm7h https://t.co/49kudXHayd,2
E governo ainda quer indenizar a família dos bandidos? @STF_oficial @MichelTemer #PresoTemQueTrabalhar.... https://t.co/C0u1iIRCup,1
PM faz apreensão em série de drogas em três bairros de Contagem - Gerais - Estado de Minas https://t.co/BrpLhMyeKU,2
#beta #betalab #mg Polícia Federal prende duas pessoas suspeitas de tráfico de drogas no Leste… https://t.co/FASr1eYTFR #timbeta #rt #brasil,2
@PMMG190 - 23º BPM- DIVINÓPOLIS: Militares da 142ª Cia realizam prisão de autores e drogas https://t.co/IQCQjyY2dH,2
"RT @CAASCORPION: Depois de decretar “calamidade financeira”, governo de Minas gasta mais R$ 21 milhões em helicópteros https://t.co/NSVIp1s…",0
"RT @ZeGeraldo1436: Banco do Brasil cobra de Minas R$ 1,5 bilhão em depósitos judiciais https://t.co/cg3pJa9A5Z",0
"APAE de Pará de Minas reiniciará transporte de alunos, após prefeitura liberar o abastecimento dos veículos https://t.co/3XvQr9FjPq",2
"I'm at Sorveteria da Maria in Governador Valadares, Minas Gerais https://t.co/Vok77sUuH6",1
"RT @UOLNoticias: Polêmica com filho de Pimentel: Governo de Minas prevê gasto de R$ 50,8 mi com helicópteros https://t.co/uuqDLAAmxy",0
Governo anuncia ensino integral em três escolas estaduais do Triângulo https://t.co/PVSTnkw1gp https://t.co/NpNM97V4yW,2
Governo de MG põe em sigilo dados sobre voos de Pimentel https://t.co/5Ov5bzUaGx ESCARNIO ZERO,0
Después de días le dio mg a un estado en fb.,1
RT @camiii99_Ok: @AxelRolonOk Y tiene 7 mg este estado que nadie se venga a hacer la inocente��,1
"RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv",0
RT @M0n1k1ta: Maduro dice que Tareck es especialista en seguridad ciudadana. Su estado Aragua terminó con una tasa de muertes por acción po…,1
@gercinu tu estás em MG? Há uma zona de baixa pressão em cima do estado que impede a formação de nuvens.,1
RT @Hugotim1: #timbeta #globo Homem é preso e confessa roubo a farmácia em Montes Claros https://t.co/Zp4I49i9Gg #OperacaoBetaLab #Sigodevo…,2
RT @correiodeminas: Governo de Minas Gerais reconhece Folias de Reis como Patrimônio Imaterial do Estado - https://t.co/DERqN4P7G4 https://…,1
"RT @edmilsonpapo10: Após decretar falência do Estado de Minas, Pimentel tá comprando mais 2 helicópteros... Teremos mtos feriados em 2017..…",0
Prefeitura de Formiga - MG abre Processo Seletivo para Educação https://t.co/quSts0addZ https://t.co/wg02JnoTLM,2
Presos por roubo à casa em Juiz de Fora têm histórico de crimes violentos https://t.co/aPpXX5DXtT https://t.co/3vgZEQvCbj,2
RT @cyrusxotao: 42- o japão é menor do que o estado de minas gerais. https://t.co/QNLUhWQzIS,1
Polícia Civil apresenta dupla presa por tráfico de drogas em Patrocínio https://t.co/pBigrZsDIK https://t.co/3at1M3VRkq,2
Policial de folga impede roubo e detém ladrões em Juiz de Fora https://t.co/o9VMLvYmpO https://t.co/EqFdg0BffJ,2
Criança morre em piscina de condomínio de luxo no Norte de Minas - Gerais - Estado de Minas https://t.co/4TR4vJeucC,1
"RT @RevistaISTOE: Mesmo em ‘calamidade financeira’, governo de Fernando Pimentel em MG compra mais dois helicópteros. https://t.co/vAdSKiBh…",0
Aqui no Brasil Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos via /r/brasil https://t.co/DK9VYu8D8D,2
"'Falo sobre isso na semana que vem', diz Doria sobre tarifa de transporte - Nacional - Estado de Minas https://t.co/J6VO9jh44k",1
"RT @adilsonjr11: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros. Papai Pilantrel https://t.co/Nd57r5F6Z3 via @…",0
Jovem é preso suspeito de violência doméstica e cárcere em Uberlândia https://t.co/rO7Rr42OZB,2
"Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/kHLS7KhmBc by #FAXINANOPODER_ via @c0nvey",0
Adélia Prado vence o Prêmio Governo de Minas Gerais de Literatura 2016 https://t.co/6sQMT1xMbl,1
"RT @JornalOGlobo: Com três anos, presídio privado em Minas Gerais não teve rebeliões. https://t.co/GHIgjP21c2 https://t.co/ag3VCTfCbl",2
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
#timbeta #globo Quatro homens são presos por  tráfico de drogas em Janaúba https://t.co/2ONQUSnfcD #OperacaoBetaLab #Sigodevolta,2
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",0
BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/gibQ7GLMgU,0
Policial de folga impede roubo e detém ladrões em Juiz de Fora  https://t.co/H07IjH64BY,2
São João Nepomuceno encerra inscrições para processo seletivo: Vagas são para profissionais da educação; veja…… https://t.co/3bua3FwnBJ,2
Quatro homens são presos por tráfico de drogas em Janaúba https://t.co/M8n5tJ4ctk https://t.co/bCeqYAsIxB,2
"RT @oficialmchariel: Fui parar em contagem, estado de minas e dahora",1
"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",0
E governo ainda quer indenizar a família dos bandidos? @STF_oficial @MichelTemer #PresoTemQueTrabalhar… https://t.co/ZFfs6otvv7,1
Chamada inicial para designação terá início no dia 18 de janeiro de 2017 https://t.co/mSwfabGkwW https://t.co/iKYKdcgL7w,2
Motoristas e cobradores manifestam contra insegurança em Juiz de Fora https://t.co/wxJTuL6E7f https://t.co/RulyAQlp6T,2
Araxá recebe novas doses da vacina contra febre amarela #G1 https://t.co/qSyQrYQJPQ,2
Três homens são presos por suspeita de roubo de cargas em Santa Luzia https://t.co/mEYg65dE5I https://t.co/HBEoCvcvVJ,2
RT @cyrusxotao: 42- o japão é menor do que o estado de minas gerais. https://t.co/QNLUhWQzIS,1
Secretaria de #Educação de MG abre processo para #contratar designados https://t.co/YJTOk6YVXn,2
"Com seis casos confirmados, Diamantina tem surto de malária - Gerais - Estado de Minas https://t.co/2Sg4mswHqv",1
Acronimo Pimentel BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/FfqAz4hZVt https://t.co/4DbFvAZw6F,0
Policial de folga impede roubo e detém ladrões em Juiz de Fora https://t.co/j5R8MWxA1Q,2
RT @MeilingTamiozzo: Vereador de SP Fernando Holiday quer revogar o Dia da Consciência Negra - Politica - Estado de Minas https://t.co/W2XP…,1
RT @jcstnbieber: 4. Hailey tem uma tatuagem escrita “Minas Gerais” estado em que sua avó nasceu. https://t.co/Sx0mAzAqi6,1
Com menos se faz mais: Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/iSWaagdU2o,2
Ônibus carregado de drogas é flagrado na MG-353; motorista é preso https://t.co/NAZUUsHMeb https://t.co/rJyoktQfL2,2
"RT @em_com: Bom dia! Esta é a capa do Estado de Minas deste domingo, 8 de janeiro de 2017. Leia mais em https://t.co/rapYrfsnzQ https://t.c…",1
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
Minas Gerais recebe auxílio da Força Nacional do SUS para casos de febre amarela via @PvozdoCLIENTE https://t.co/QfZr54sZMo,2
Secretário deixa cargo no governo Temer após defender chacinas - Politica - Estado de Minas https://t.co/Lxkws5iHKk,1
Caminhoneiro suspeito de forjar roubo de carga é preso em Araxá https://t.co/4N5AvyUoN9,2
Policial de folga impede roubo e detém ladrões em Juiz de Fora  https://t.co/08s4s5HXFV,2
Peritos do Amazonas prometem parar IML por tempo indeterminado – Estado de Minas: Peritos… https://t.co/HBQqPai2ip,1
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
"RT @RevistaISTOE: Mesmo em ‘calamidade financeira’, governo de Fernando Pimentel em MG compra mais dois helicópteros. https://t.co/vAdSKiBh…",0
"RT @edmarnarrador: É grave o estado de saúde do atacante Michael, que disputou o Brasileirão pelo América/MG. O carro em que estava colidiu…",1
RT @folha: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/xZFKoIK1Ih,0
Araxá recebe novas doses da vacina contra febre amarela https://t.co/8v6rPXkF8d https://t.co/63PzGY4XIu,2
Surto de febre amarela provoca corrida por vacinas no interior de Minas - Estado de Minas https://t.co/jd4Ih1V4BS https://t.co/7R2KUy8WsJ,1
#i5gornascimento @i5gornascimento Motoristas e cobradores manifestam contra insegurança em Juiz de Fora https://t.co/c0jjqfYw5n,2
Caminhoneiro suspeito de forjar roubo de carga é preso em Araxá  https://t.co/A4Pq1DfTyb,2
RT @AnjokaMaximo: @o_antagonista  Põe na conta do @STF_oficial  que não cumpriu seu papel de afastar Pimentel. o Estado de MG pode cobrar T…,1
"Boa tarde,  Como que tira ferias e descansa com noticias assim ? Tem que se desligar é tudo mesmo neste período.... https://t.co/xsKRgUBSkg",1
RT @cyrusxotao: 42- o japão é menor do que o estado de minas gerais. https://t.co/QNLUhWQzIS,1
"Após denúncia, PM apreende drogas, munição e armas em Araxá https://t.co/vZszTSyjn3 https://t.co/3BEVQTuHZl",2
@PMMG190 - Divinópolis - Cão farejador localiza drogas https://t.co/vUBsMjazD2,2
"RT @JoseAdeildo: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/H42tw8YqUI",0
"RT @wareporter: Rithely já recebeu propostas do Palmeiras, Corinthians, Atletico-MG, Inter e Fluminense  Pra ser convocado tem que mudar de…",1
"New post: ""Araxá recebe novas doses da vacina contra febre amarela"" https://t.co/EnzrrnvOLv",2
Menor é detido com drogas e balança de precisão em Montes Claros https://t.co/R8LwUEzEmJ https://t.co/OfCYAyaaxk,2
"RT @BlogDoPim: Petistas que lamentam massacre jamais lamentaram posição ""neutra"" do governo do PT em relação às Farc, fornecedoras de droga…",1
"Polícia apreende armas, munições e drogas durante operação em #Medina, MG https://t.co/P2urut7CbH",2
Petróleo recua com avanço dos poços e plataformas em operação nos EUA - Estado de Minas https://t.co/bNgEuc100O,1
@PMMG190 - MILITARES PRENDEM AUTORES DE TRÁFICO DE DROGAS https://t.co/dHiOMvsPbw,2
"Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/fV8Ct7AGRW by #VEJA via @c0nvey",0
"Trump nomeia genro, Jared Kushner, como assessor da Casa Branca - Estado de Minas https://t.co/T9dZb1nW3B https://t.co/a0TwMIBNSE",1
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
#timbeta #globo Polícia em MG apresenta rapaz que recebia drogas sintéticas via correios https://t.co/RLzNvBAjFC #OperacaoBetaLab #Sigodev…,2
#brasilmetropole Ação do Governo de Minas Gerais beneficiará 12 mil agricultores familiares https://t.co/GnYxfIYfZy,2
RJ faz bloqueio contra febre amarela na divisa com MG https://t.co/8lZWXUJ1g6 https://t.co/P53yK3KK4U,2
"""erro desconhecido"" é mato! Aliás, é da secretaria estadual de fazenda que tá assim... MG não precisa de dinheiro não, Governador?",0
"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",0
Presídio privado em Minas Gerais nunca teve rebeliões https://t.co/JD9zkdrR6S,2
IPVA com desconto só até a próxima segunda - Gerais - Estado de Minas https://t.co/MUWJJvCBgA,1
Quatro homens são presos suspeitos de tráfico de drogas em Pirapora https://t.co/VPIxCgf6JJ,2
"RT @edmilsonpapo10: Após decretar falência do Estado de Minas, Pimentel tá comprando mais 2 helicópteros... Teremos mtos feriados em 2017..…",0
"RT @JornalOGlobo: Com três anos, presídio privado em Minas Gerais não teve rebeliões. https://t.co/GHIgjPjCAC https://t.co/s9yOwjCAmu",2
BB e governo de Minas travam disputa sobre depósitos judiciais https://t.co/JPfmy0vFZS,0
"E governo ainda quer indenizar a família dos bandidos? @STF_oficial @MichelTemer #PresoTemQueTrabalhar,; https://t.co/1QtSEWtwAL",1
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
@PMMG190 - BURITIS - APREENSÃO DE DROGAS https://t.co/xapkFEWVE1,2
@PMMG190 - Ribeirão das Neves - Militares recuperam veículo e apreendem drogas e armas https://t.co/p8Opi8l9us,2
"RT @rbrasiliense: Cara-de-pau é o governador de Minas, Fernando Pimentel, que depois de ser flagrado pegando o filhão na festa, comprou mai…",0
"RT @CeliaNacarato: ""Governo de Minas Gerais compra mais dois helicópteros."" Calamidade financeira? Pimentel na cadeia, ja! https://t.co/9qu…",0
RT @jornaldarecord: Vacinação contra febre amarela é intensificada após morte de macacos  https://t.co/iTJ3Z1pg0T #JornalDaRecord,2
"RT @PandaRcds: O PT SÓ CONHECE A VIDA DE MARAJÁ,MESMO O ESTADO DE MINAS GERAIS  ESTAR QUEBRADO!!! https://t.co/9khsHsdWx5",0
RT @cyrusxotao: 42- o japão é menor do que o estado de minas gerais. https://t.co/QNLUhWQzIS,1
RT @fera2k: Presídio privado em Minas Gerais nunca teve rebeliões. https://t.co/lKC8nj3Dpl,2
"RT @MatosValtecio: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros via @UOLNoticias @UOL  https://t.co/qYsjegqK…",0
"Governo pagou R$ 2,4 bilhões a empreiteiras alvos da Lava-Jato - Politica - Estado de Minas https://t.co/sDSzz77UOm",1
@PMMG190 - MENOR É APREENDIDO POR TRÁFICO DE DROGAS https://t.co/bi0zs2oPnX,2
BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/AglyVr0oEr by #folha via @c0nvey,0
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
"RT @rbrasiliense: Cara-de-pau é o governador de Minas, Fernando Pimentel, que depois de ser flagrado pegando o filhão na festa, comprou mai…",0
"RT @rafaelpguy: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros https://t.co/L1V8gCcF9N via @UOLNoticias @UOL",0
RT @AnjokaMaximo: #NaoConfiamosNoSTF Põe na conta do @STF_oficial  que não cumpriu seu papel de afastar Pimentel. o Estado de MG pode cobra…,1
Suspeitos de envolvimento em roubo de bancos no Sul de MG são presos https://t.co/O0tK3QVRhN https://t.co/CUIuKeuaFY,2
BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/uz5LmSohWP,0
RT @JocaMani: O Maluco se encontra em completo estado alterado emocional diagnóstico esquizofrenia. Quem mandou ser simpatizante do Menor d…,1
Menor é detido com drogas e balança de precisão em Montes Claros https://t.co/jXkIcjK1d3 https://t.co/Bcjb90tXvj,2
Cinco homens são presos suspeitos de tráfico de drogas em Pirapora https://t.co/EP7nX5Eq7C,2
RT @educarmelhor: Designação para rede estadual preocupa funcionários de Juiz de Fora https://t.co/vkQbhBC7DV https://t.co/4a3fFLbdmN,2
"RT @NilmaAguiar: Dos grandes centros.O estado em melhor situação salarial.é MG. Pouco, pra quem perde a vida na mão desses bandidos cada ve…",2
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
RT @folha: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/M3Qvk9wN3T https://t.co/ESWDEpfKWh,0
"RT @CAASCORPION: Depois de decretar “calamidade financeira”, governo de Minas gasta mais R$ 21 milhões em helicópteros https://t.co/NSVIp1s…",0
"RT @OGloboPolitica: Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/Pls2dpH7j4 https://t.co/7u5I9Kqa1F",2
RT @JBarbosa2014: A FÓRMULA DO FRACASSO: O governo PETISTA de FERNANDO PIMENTEL já está entre os PIORES da história do Estado de Minas Gera…,0
@PMMG190 - Apreensão de drogas no Bairro São Jorge https://t.co/S4G01XDxAE,2
RT @frednavarro: O governador Fernando Pimentel (PT-MG) mandou comprar mais dois helicópteros. Será que vai ter gêmeos?,0
Policial de folga impede roubo e detém ladrões em Juiz de Fora https://t.co/65o0prSiAy,2
"RT @UOL: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois helicópteros https://t.co/T36jGfw2mT",0
Quatro homens são presos suspeitos de tráfico de drogas em Pirapora https://t.co/FPMUAa24We,2
"RT @UOLNoticias: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois helicópteros https://t.co/ijUc1AmjLZ",0
Por certo já escrevemos sobre essa Lei que esse pseudo governador chamado Fernando Pimentel aprovou a toque de... https://t.co/IBvbHr1dlV,1
Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/7pOvlaXHjs,2
E governo ainda quer indenizar a família dos bandidos? @STF_oficial @MichelTemer #PresoTemQueTrabalhar… https://t.co/T2o7otuSyg,1
Governo de MG recorre ao STF contra o Banco do Brasil por descumprimento de ordem judicial https://t.co/nkHPTh3SqB,1
"RT @MatosValtecio: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros via @UOLNoticias @UOL  https://t.co/qYsjegqK…",0
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
"RT @exame: Em calamidade financeira, governo de MG compra mais helicópteros > https://t.co/6uyDUO3WTT https://t.co/kEKVqvu0wT",0
"RT @em_com: Bom dia! Esta é a capa do Estado de Minas deste domingo, 8 de janeiro de 2017. Leia mais em https://t.co/rapYrfsnzQ https://t.c…",1
Jovem é preso em Patos de Minas suspeito de tráfico e roubo na região https://t.co/DJsHNRpm1N,2
RT @bemestar: Campanha de prevenção à febre amarela tem início em Córrego Fundo https://t.co/Us3yVBKJ31,2
"Quadrilha é presa por tráfico de drogas em Timóteo, MG https://t.co/8L28GgNO8R https://t.co/bZIJ2afUcD",2
"RT @EstadaoPolitica: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/Xz79vBreX9 https://t.co/H…",0
Motoristas e cobradores manifestam contra insegurança em Juiz de Fora https://t.co/NXgHnoXbpH https://t.co/ylBWYvxuZe,2
"Homem é preso após transportar drogas em ônibus de turismo, em MG https://t.co/PVhvjMBH2w https://t.co/ZTvQ2ym4AJ",2
RT @edmilsonpapo10: Pimentel torrando dinheiro com helicópteros   https://t.co/3AkuJsS6ea,0
Eduardo Cunha fica isolado em presídio do Paraná - Politica - Estado de Minas https://t.co/2agERpq9Iv,1
O Coren-MG lança hoje o seu Programa de Educação Permanente. Faça já cursos e palestras grátis com certificação.… https://t.co/QyXmyUWHft,2
"Preço do feijão está menos valorizado, apesar do aumento da colheita - Agropecuário - Estado de Minas https://t.co/ulnRaR1eMk",1
'Jeitinho Kalil': novo prefeito de BH almoça de marmitex e elimina traje formal - Politica - Estado de Minas https://t.co/KLLQQAmJMd,2
Secretaria Municipal de Educação contrata profissionais para o ano letivo e garante que processo cumpriu a lei https://t.co/awV1SejbW2,2
Polícia afirma que estuprador agia com crueldade - Gerais - Estado de Minas https://t.co/PoEhJcNCET,1
"RT @wareporter: Rithely já recebeu propostas do Palmeiras, Corinthians, Atletico-MG, Inter e Fluminense  Pra ser convocado tem que mudar de…",1
RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,0
#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Polêmica com filho de Pimentel: Govern… https://t.co/E1EhSA9Ti3,1
RT @caminhodaescola: @CNHIndustrial entrega 628 ônibus ORE 2 IVECO BUS ao Governo de Minas Gerais  https://t.co/yKPqJIKxZl  https://t.co/h0…,2
Oposição venezuelana declarará Maduro em 'abandono de cargo' pela crise - Estado de Minas https://t.co/OxkW1TQf0h,1
"RT @fn7k: Pimentel torrou o dinheiro dos depósitos judiciais, como puderam entregar todo esse dinheiro na mão desse corrupto?? https://t.co…",0
RT @frednavarro: O governador Fernando Pimentel (PT-MG) mandou comprar mais dois helicópteros. Será que vai ter gêmeos?,0
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
RT @ninadeabreuc: Shopping que cobrar estacionamento em BH vai pagar multa de R$ 15 mil - Economia - Estado de Minas https://t.co/X0EPvVhxgk,1
ONU expulsa integrantes que dançaram com guerrilheiros da Farc no réveillon - Internacional - Estado de Minas https://t.co/TJnOrin1DX,1
Segue o impasse quanto aos depósitos judiciais. https://t.co/dLrogDkwIW,1
RT @adilsonjr11: BB avisa Justiça que governo de MG não tem recursos em conta judicial. + Helicóptero o Gov de Minas o Pilantrel tem. https…,0
Campanha de prevenção à febre amarela tem início em Córrego Fundo https://t.co/zYsr7hnU1E https://t.co/0PLMMyOCsI,2
"tt Consumo de energia no País em dezembro sobe 1,3% na base anual; geração cai 0,6% - Estado de Minas https://t.co/vOxAmqt2po",1
https://t.co/YW2nfQrsOr via @folha_com,1
RT brunoboghossian: Cármen deve julgar nos próximos dias reclamação do governo de MG sobre bloqueio de contas do E… https://t.co/pwaey3gjE8,1
Arma e drogas são apreendidas pela PM em baile funk em Januária https://t.co/MZETlZECds,2
RT @anacronices: Foda você entrar no RedTube pra ver um pornozinho e ser redirecionado para uma notícia do governo Temer,1
Governo de Minas Gerais nomeia mais 2.500 trabalhadores da Educação https://t.co/XtERxPlte1 #ANV https://t.co/Wt2B1MBBwl,2
"New post: ""PM apreende maconha e celular em presídio de Coronel Fabriciano"" https://t.co/vosj4DuAUm",2
RT @OGloboPolitica: Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos. https://t.co/82tyxIrCW9 https://t.co/1imuf9X85A,2
RT @JDanieldf: Pedindo para que MG reaja? Reagir contra o governador queridinho dos eleitores mineiros? https://t.co/mMCw5wyyL8,0
@patomatti @JacAlochio deve ser por isso que o governo de Minas comprou 2 helicópteros.,0
@PMMG190 - Araguari- Militares prendem traficante de drogas https://t.co/8gDAF2Jm6d,2
https://t.co/G60AshNuKL,1
UFJF abre 62 vagas para cursos em Governador Valadares  https://t.co/8aDQ0pSvxK,1
Homem é preso ao agredir segurança de clube em Três Corações (MG) https://t.co/EXhPuxNwQU https://t.co/IlgreJIAFP,2
PM apreende pés de maconha e drogas em Uberlândia https://t.co/jVRnQBugtG https://t.co/BoFals267A,2
Dupla é presa com drogas durante operação policial em Patrocínio https://t.co/8Hc1U8TgqG,2
"Polícia apreende armas e drogas no distrito de Barra Alegre, em Ipatinga https://t.co/sKxBrgWx0p #SomosTodosDilma #Raynniere #BuyRaynniere…",2
#timbeta #globo Prefeitura amplia horário de vacinação após caso de febre amarela em Poços https://t.co/7i9hx2UheW #OperacaoBetaLab #Sigod…,2
"RT @radioitatiaia: Mesmo em 'calamidade financeira', governo de Minas compra mais dois helicópteros: https://t.co/9PMQRR5fn8 https://t.co/9…",0
"RT @MARCUSPITTER: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/OienKaPs4P by #FPetralha via @c0nvey",0
RT @adilsonjr11: A vergonha que é esse Governo de Minas. Buscar filhinho embriagado de helicóptero enquanto o servidores estão sem receber…,0
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
Homem é preso com réplica de pistola após roubo em Montes Claros https://t.co/LilDBrVNRD https://t.co/92p8ZHiKMq,2
Quatro homens são presos suspeitos de tráfico de drogas em Pirapora https://t.co/vFWtt85vRv https://t.co/HzolLDmT6P,2
Januária recebe 50 mil doses da vacina após morte por febre amarela https://t.co/rmp9NrDPX5,2
